nr,skill,text,hanzi,record_as,target_hash
45,pronouns,I1 si6 uang2 gai5 pêng5iu2.,伊是阮個朋友,045.m4a,67f6d905f8843279f88786a57cdd05b143d6358d3544f19c0a0f395b78035342
46,pronunciation,a1 阿,阿,046.m4a,136c870870da4e1844b632511afc2a178c9b8debde6994684e92d023e20d4e3e
47,pronunciation,m6 唔,唔,047.m4a,c9eab9d5d38171210782d8a08718e3fc4326d7f7b2b9736109bba4fc765c7d1d
48,pronunciation,si6 是,是,048.m4a,04112ff40ab05e8dec2eb961f868842d4e00ca7a80ffe42fc449081da759826b
49,pronunciation,u6 有,有,049.m4a,048a92832e4793df0db70591de5d29decbef8e7708e72e74cd03fec4c209c4c8
50,pronunciation,bho5 無,無,050.m4a,58717baf996ad2227f94615489ca21d6fb76e63e804eb5a9867634346af855bd
51,pronunciation,ê6 下,下,051.m4a,dd942dcfebaf3d775b8a0d3f2ed255eddb25ce69aeba21e82d25f36701b5bfca
52,pronunciation,m6 si6.,唔是,052.m4a,6ef39ceb52631bb6ba7eb23c298b9b97a719691a10cf36a718c6cb3a9e5b88a8
53,pronunciation,u6.,有,053.m4a,19a715f05d1931bd9ce01b2513fedc8649d25c587d22224b923e7ab26b9f5bb5
54,pronunciation,bho5.,無,054.m4a,34dd95d0a47b447316c06e1c61ab1a25191d9260a94fd88ebec7a9ac4fecc22d
55,location,do6 在,在,055.m4a,4c4071d378cf1bd557d43e841281f5dea497f0e1e097d8f630f6049fc67880a9
56,location,ke3 去,去,056.m4a,c5afaa432cde781a4dbf5227a032ffc4c52f7f5f11485c576b7d7c0e2d755dba
57,location,lai5 來,來,057.m4a,b2175ccd93260219400c50b0f15348311d5c585043543c0a1e1b43c3961e3937
58,location,zi2go3 只塊,只塊,058.m4a,d77bc71e9e8196dac1522f5e3e20f94011ee070d3dfc6a1742ab14bcb38dfe04
59,location,ghua7kao2 外口,外口,059.m4a,78839606799b4a5cf90d2c233477695c336faab4cac66942a5ab0e55c6c2de41
60,location,bin1tao5 邊頭,邊頭,060.m4a,a288437555c7ac7eb2c0d808557c1d6a3e061fcb17426109315680c6e79807c8
61,location,Ua2 do6 zi2go3.,我在只塊,061.m4a,b69fcc26b372acf16ca63b6ecd355f37af03f6cd4c96a6aaec49a2bcedf875f4
62,location,I1 ke3 ghua7kao2.,伊去外口,062.m4a,909c2ec989ba8e67de800d078e13131798590c505a4b214d4adfba22d275e990
63,negatives,m6si6 唔是,唔是,063.m4a,33a9f6838ae7df1cd20797693b20ffd10a2d95e2048a6c992d0494f4a38c335e
64,negatives,m6 唔,唔,064.m4a,c9eab9d5d38171210782d8a08718e3fc4326d7f7b2b9736109bba4fc765c7d1d
65,negatives,bho5 無,無,065.m4a,58717baf996ad2227f94615489ca21d6fb76e63e804eb5a9867634346af855bd
66,negatives,bhuê7 未,未,066.m4a,c242ed86cf0435cc5e95e111675027efe367ef949c8b0d398e917376d081b023
